Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000001023,S100a5,Gene Expression,0.7709047637849914,0.0,0.0,9019,15.848668618181225,1021
ENSMUSG00000019874,Fabp7,Gene Expression,0.698734574957476,0.0,0.0,13462,20.67993213671588,1170
ENSMUSG00000002985,Apoe,Gene Expression,0.6945209684602162,0.0,0.0,67509,76.63516862397292,1184
ENSMUSG00000025739,Gng13,Gene Expression,0.658574952795907,0.0,0.0,5260,8.803693833490929,1050
ENSMUSG00000090223,Pcp4,Gene Expression,0.6317031919297343,0.0,0.0,45118,25.811125103931385,1133
ENSMUSG00000053310,Nrgn,Gene Expression,0.6033600468166096,0.0,0.0,10723,6.075966045767149,898
ENSMUSG00000064363,mt-Nd4,Gene Expression,0.5999984926402719,0.0,0.0,213512,194.53399901160503,1185
ENSMUSG00000098178,Gm42418,Gene Expression,0.5974985773880012,0.0,0.0,14472,20.712643217066326,1180
ENSMUSG00000045573,Penk,Gene Expression,0.5923685449562558,0.0,0.0,5637,3.1817560688367985,781
ENSMUSG00000064354,mt-Co2,Gene Expression,0.5910893691513277,0.0,0.0,380553,339.55372170692334,1185
ENSMUSG00000029838,Ptn,Gene Expression,0.5837733993199208,0.0,0.0,10906,14.989680954902454,1170
ENSMUSG00000064351,mt-Co1,Gene Expression,0.5785033028289169,0.0,0.0,672929,589.0247295015193,1185
ENSMUSG00000022548,Apod,Gene Expression,0.576583462542936,0.0,0.0,9121,16.103719773032918,1099
ENSMUSG00000064357,mt-Atp6,Gene Expression,0.567427674634761,0.0,0.0,453494,398.844955750294,1185
ENSMUSG00000015090,Ptgds,Gene Expression,0.5551968983948639,0.0,0.0,25298,54.86243954527767,1172
ENSMUSG00000064370,mt-Cytb,Gene Expression,0.5548662334168246,0.0,0.0,264694,227.92936168898527,1185
ENSMUSG00000048644,Ctxn1,Gene Expression,0.5314174360698923,0.0,0.0,9800,5.570267763389607,950
ENSMUSG00000064345,mt-Nd2,Gene Expression,0.5268308117254725,0.0,0.0,131317,121.01608311947321,1184
ENSMUSG00000007097,Atp1a2,Gene Expression,0.5111085571422098,0.0,0.0,18878,22.23213178428095,1175
ENSMUSG00000059456,Ptk2b,Gene Expression,0.4970411679889876,0.0,0.0,5627,3.391023317350805,837
ENSMUSG00000074006,Omp,Gene Expression,0.4918438272917297,0.0,0.0,735,1.7225301817960084,413
ENSMUSG00000021303,Gng4,Gene Expression,0.48983053609972566,0.0,0.0,14116,8.656819728087532,1062
ENSMUSG00000064358,mt-Co3,Gene Expression,0.48783718772933854,0.0,0.0,572663,485.8261442346573,1185
ENSMUSG00000041607,Mbp,Gene Expression,0.48569233424403624,0.0,0.0,23731,15.269795884422125,1126
ENSMUSG00000045136,Tubb2b,Gene Expression,0.47684669560409737,0.0,0.0,4366,2.651366450751477,853
ENSMUSG00000032517,Mobp,Gene Expression,0.47049163683235873,0.0,0.0,4387,2.7014690139755264,789
ENSMUSG00000026930,Gpsm1,Gene Expression,0.4671696757879288,0.0,0.0,8746,5.2492967416329295,987
ENSMUSG00000039057,Myo16,Gene Expression,0.46053118747621075,0.0,0.0,2873,1.7149690392436143,707
ENSMUSG00000037579,Kcnh3,Gene Expression,0.4577160032460994,0.0,0.0,2933,1.7906130745152353,671
ENSMUSG00000026090,2010300C02Rik,Gene Expression,0.44750113380427076,0.0,0.0,2995,1.79003908400409,716
ENSMUSG00000031837,Necab2,Gene Expression,0.4432097741797344,0.0,0.0,2351,1.4238646157773818,646
ENSMUSG00000064341,mt-Nd1,Gene Expression,0.43993762066080655,0.0,0.0,169639,144.35362774567696,1184
ENSMUSG00000032532,Cck,Gene Expression,0.4389666405690986,0.0,0.0,9874,8.676290583006654,1098
ENSMUSG00000029757,Dync1i1,Gene Expression,0.43706580269305867,0.0,0.0,6754,4.093382431012046,936
ENSMUSG00000048978,Nrsn1,Gene Expression,0.43548749665678393,0.0,0.0,9507,8.524206895004479,1106
ENSMUSG00000046215,Rprml,Gene Expression,0.4351443379203593,0.0,0.0,3651,2.248639853031316,768
ENSMUSG00000029819,Npy,Gene Expression,0.4341440054831514,0.0,0.0,5320,7.810317666645615,1011
ENSMUSG00000025576,Rbfox3,Gene Expression,0.42828926157278413,0.0,0.0,3623,2.17789490312898,796
ENSMUSG00000028833,Ncdn,Gene Expression,0.42820294622867855,0.0,0.0,25474,16.548998059607705,1145
ENSMUSG00000024871,Doc2g,Gene Expression,0.42669922830689616,0.0,0.0,9916,7.9894213553429,1063
ENSMUSG00000032564,Cpne4,Gene Expression,0.4222105410081025,0.0,0.0,4797,2.952644368938605,878
ENSMUSG00000064373,Selenop,Gene Expression,0.4137831072095183,0.0,0.0,6479,7.498468443617337,1143
ENSMUSG00000027298,Tyro3,Gene Expression,0.4134728738230151,0.0,0.0,1642,0.9594508217727972,559
ENSMUSG00000028161,Ppp3ca,Gene Expression,0.410964429735797,0.0,0.0,7765,4.840068417613858,994
ENSMUSG00000040699,Limd2,Gene Expression,0.4074906631562109,0.0,0.0,5188,3.2157498118167998,885
ENSMUSG00000057897,Camk2b,Gene Expression,0.4072678967538608,0.0,0.0,12314,8.014854472525858,1088
ENSMUSG00000026185,Igfbp5,Gene Expression,0.4054792386925437,0.0,0.0,2685,3.997802041890636,983
ENSMUSG00000098557,Kctd12,Gene Expression,0.4022913117262774,0.0,0.0,2005,3.3258824534216207,787
ENSMUSG00000069227,Gprin1,Gene Expression,0.40174696742222193,0.0,0.0,4391,2.6651160397135296,859
ENSMUSG00000078816,Prkcg,Gene Expression,0.4008691003693852,0.0,0.0,1182,0.6826568474565182,481
ENSMUSG00000017493,Igfbp4,Gene Expression,0.3962278780945921,0.0,0.0,738,1.4297372019322319,447
ENSMUSG00000027270,Lamp5,Gene Expression,0.39543925344490916,0.0,0.0,1872,1.119862337545205,595
ENSMUSG00000060126,Tpt1,Gene Expression,0.39354605389296987,0.0,0.0,35915,33.201837505295984,1181
ENSMUSG00000004936,Map2k1,Gene Expression,0.3905121271076205,0.0,0.0,7162,4.524520543683209,979
ENSMUSG00000024617,Camk2a,Gene Expression,0.3889181053763134,0.0,0.0,4497,2.9249159149543025,888
ENSMUSG00000046447,Camk2n1,Gene Expression,0.3860453971184413,0.0,0.0,11892,7.71594881220871,1075
ENSMUSG00000028278,Rragd,Gene Expression,0.3859427611724183,0.0,0.0,3158,1.947732864663377,797
ENSMUSG00000020297,Nsg2,Gene Expression,0.38581450815868645,0.0,0.0,12190,7.827250468281407,1062
ENSMUSG00000027875,Hmgcs2,Gene Expression,0.3814870305186676,0.0,0.0,329,0.7580109519954664,240
ENSMUSG00000042834,Nrep,Gene Expression,0.3814146991898125,0.0,0.0,3767,2.3890299997361835,823
ENSMUSG00000022212,Cpne6,Gene Expression,0.3786523524168821,0.0,0.0,7232,4.530190246126706,953
ENSMUSG00000030549,Rhcg,Gene Expression,0.3778450968611453,0.0,0.0,751,0.4305274840035371,367
ENSMUSG00000050965,Prkca,Gene Expression,0.377231856240279,0.0,0.0,3687,2.3457778435328245,830
ENSMUSG00000069919,Hba-a1,Gene Expression,0.3756201478989761,0.0,0.0,23097,25.951937818998577,1167
ENSMUSG00000025492,Ifitm3,Gene Expression,0.37527031964532276,0.0,0.0,1621,2.673088834144033,748
ENSMUSG00000027273,Snap25,Gene Expression,0.3741788590678353,0.0,0.0,28147,18.62669144239913,1147
ENSMUSG00000024601,Isoc1,Gene Expression,0.372869543007216,0.0,0.0,2792,1.755953067769562,715
ENSMUSG00000003657,Calb2,Gene Expression,0.372823823249331,0.0,0.0,15952,13.532034818055774,1142
ENSMUSG00000032174,Icam5,Gene Expression,0.3692761497058892,0.0,0.0,3468,2.2494557941484694,809
ENSMUSG00000037126,Psd,Gene Expression,0.3676991121606649,0.0,0.0,4880,3.1911329659489462,937
ENSMUSG00000034570,Inpp5j,Gene Expression,0.3676532898184822,0.0,0.0,6918,4.4620390852402805,987
ENSMUSG00000055078,Gabra5,Gene Expression,0.36419527946237257,0.0,0.0,2489,1.5145043118578487,693
ENSMUSG00000063358,Mapk1,Gene Expression,0.3599918720374234,0.0,0.0,7900,5.062515296446379,1021
ENSMUSG00000064065,Ipcef1,Gene Expression,0.3597488776447477,0.0,0.0,1795,1.080012384078706,612
ENSMUSG00000052305,Hbb-bs,Gene Expression,0.3586468865663675,0.0,0.0,64319,68.56388133293585,1178
ENSMUSG00000004455,Ppp1cc,Gene Expression,0.3571648820573473,0.0,0.0,10499,6.6554968443175735,1067
ENSMUSG00000009013,Dynll1,Gene Expression,0.3562712936424546,0.0,0.0,20220,13.620136254895579,1153
ENSMUSG00000033161,Atp1a1,Gene Expression,0.3557350658991931,0.0,0.0,8089,5.287008552598244,1036
ENSMUSG00000029101,Rgs12,Gene Expression,0.35554235983026955,0.0,0.0,2464,1.5487115403457967,696
ENSMUSG00000017344,Vtn,Gene Expression,0.3548175334114912,0.0,0.0,2122,2.9108426347188434,829
ENSMUSG00000001120,Pcbp3,Gene Expression,0.35285350048558695,0.0,0.0,9888,6.49612402782368,1046
ENSMUSG00000023018,Smarcd1,Gene Expression,0.35185261943695234,0.0,0.0,5270,3.411443791037775,949
ENSMUSG00000046982,Tshz1,Gene Expression,0.3504301169291918,0.0,0.0,5418,3.4861271460043737,949
ENSMUSG00000064360,mt-Nd3,Gene Expression,0.3491560855251799,0.0,0.0,29789,27.16936235189996,1180
ENSMUSG00000073557,Ppp1r12b,Gene Expression,0.3485673312713681,0.0,0.0,2870,1.7946736166458404,781
ENSMUSG00000027347,Rasgrp1,Gene Expression,0.34782094505207606,0.0,0.0,6925,4.512840199540284,961
ENSMUSG00000004267,Eno2,Gene Expression,0.3471764920552976,0.0,0.0,14580,9.984633079156161,1116
ENSMUSG00000003352,Cacnb3,Gene Expression,0.34665914351469984,0.0,0.0,6267,4.103390790124364,979
ENSMUSG00000064367,mt-Nd5,Gene Expression,0.34573901340028457,0.0,0.0,23841,22.84246167832849,1181
ENSMUSG00000029309,Sparcl1,Gene Expression,0.3455482852928182,0.0,0.0,24331,22.036965673098756,1167
ENSMUSG00000052981,Ube2ql1,Gene Expression,0.3454901520211192,0.0,0.0,5698,3.621489868892625,946
ENSMUSG00000021803,Cdhr1,Gene Expression,0.3452384582693338,0.0,0.0,6894,5.368943604702584,986
ENSMUSG00000066392,Nrxn3,Gene Expression,0.3445802374902935,0.0,0.0,5237,3.37071345887455,942
ENSMUSG00000031778,Cx3cl1,Gene Expression,0.34455052064859765,0.0,0.0,7529,5.032119982203439,1007
ENSMUSG00000031971,Ccsap,Gene Expression,0.3440537741053959,0.0,0.0,1270,0.7569027435982287,536
ENSMUSG00000005892,Trh,Gene Expression,0.3427967813442974,0.0,0.0,1995,1.9832185121709704,677
ENSMUSG00000036438,Calm2,Gene Expression,0.34183873083112487,0.0,0.0,35031,23.18590943238084,1152
ENSMUSG00000033419,Snap91,Gene Expression,0.3393254897584956,0.0,0.0,6320,4.054050996784594,984
ENSMUSG00000004031,Brinp2,Gene Expression,0.3391951476266792,0.0,0.0,1727,1.0864010184928539,613
ENSMUSG00000026797,Stxbp1,Gene Expression,0.33767194355838,0.0,0.0,10532,7.047231567130261,1065
ENSMUSG00000069917,Hba-a2,Gene Expression,0.33716138495622117,0.0,0.0,16977,19.186510970183694,1151
ENSMUSG00000025372,Baiap2,Gene Expression,0.33704155353114934,0.0,0.0,4080,2.5811707862831534,873
ENSMUSG00000033615,Cplx1,Gene Expression,0.33607421652751,0.0,0.0,18318,12.389275096633538,1116
ENSMUSG00000059923,Grb2,Gene Expression,0.3357685405677028,0.0,0.0,7097,4.601171926179489,1015
ENSMUSG00000022208,Jph4,Gene Expression,0.3346334830735747,0.0,0.0,2177,1.3525875472573854,697
ENSMUSG00000020894,Vamp2,Gene Expression,0.33429945413456263,0.0,0.0,28346,19.41742435515532,1152
ENSMUSG00000070880,Gad1,Gene Expression,0.33427628063329806,0.0,0.0,24384,15.950170686925146,1136
ENSMUSG00000038418,Egr1,Gene Expression,0.33417395927884347,0.0,0.0,1973,1.1955542046077245,654
ENSMUSG00000027210,Meis2,Gene Expression,0.33353415905366074,0.0,0.0,9032,5.907030990956598,1032
ENSMUSG00000059213,Ddn,Gene Expression,0.3324481400476181,0.0,0.0,3634,2.3784639922756443,846
ENSMUSG00000024381,Bin1,Gene Expression,0.33194493474745307,0.0,0.0,5928,3.9538546137315236,992
ENSMUSG00000030302,Atp2b2,Gene Expression,0.3316593268344145,0.0,0.0,6208,4.0862154854504,999
ENSMUSG00000026473,Glul,Gene Expression,0.33043260356940846,0.0,0.0,10954,11.08629820508675,1167
ENSMUSG00000000632,Sez6,Gene Expression,0.33000107049041344,0.0,0.0,6989,4.643248852421132,1025
ENSMUSG00000036564,Ndrg4,Gene Expression,0.3283650795771743,0.0,0.0,25054,16.684643788427948,1142
ENSMUSG00000063239,Grm4,Gene Expression,0.32832741411472116,0.0,0.0,1567,0.9400882910759779,589
ENSMUSG00000040339,Fam102b,Gene Expression,0.32759600255151733,0.0,0.0,2055,1.2478545827236525,677
ENSMUSG00000027438,Napb,Gene Expression,0.327216396383493,0.0,0.0,6700,4.468176915672022,1015
ENSMUSG00000041378,Cldn5,Gene Expression,0.32664233665632125,0.0,0.0,2007,2.696974250162225,864
ENSMUSG00000070570,Slc17a7,Gene Expression,0.3260690170065484,0.0,0.0,8254,6.502743739216445,1042
ENSMUSG00000021536,Adcy2,Gene Expression,0.3245640820822758,0.0,0.0,2250,1.4122080653163733,721
ENSMUSG00000044216,Kcnj4,Gene Expression,0.3233158955122898,0.0,0.0,3616,2.33209800323603,843
ENSMUSG00000050711,Scg2,Gene Expression,0.3232255218317591,0.0,0.0,5674,4.137161089370521,1002
ENSMUSG00000035864,Syt1,Gene Expression,0.32318244746251024,0.0,0.0,14191,9.767304763973266,1104
ENSMUSG00000038718,Pbx3,Gene Expression,0.3224876102826409,0.0,0.0,4450,2.875373472325927,889
ENSMUSG00000046093,Hpcal4,Gene Expression,0.3216777225259588,0.0,0.0,3720,2.503762150287796,874
ENSMUSG00000053519,Kcnip1,Gene Expression,0.3212428723216282,0.0,0.0,1927,1.1933363464918412,661
ENSMUSG00000056296,Synpr,Gene Expression,0.3208651548864898,0.0,0.0,12744,8.373829853879656,1096
ENSMUSG00000033953,Ppp3r1,Gene Expression,0.3202243156088374,0.0,0.0,5392,3.5431920615245867,961
ENSMUSG00000027834,Serpini1,Gene Expression,0.32005246177332386,0.0,0.0,5693,3.61124935031353,957
ENSMUSG00000067786,Nnat,Gene Expression,0.3184814417965374,0.0,0.0,5150,6.2518126555501485,1077
ENSMUSG00000049907,Rasl11b,Gene Expression,0.31844088341607457,0.0,0.0,4598,3.005705578653103,909
ENSMUSG00000030806,Stx1b,Gene Expression,0.3182983599763227,0.0,0.0,7131,4.7458568320051,1039
ENSMUSG00000032291,Crabp1,Gene Expression,0.3174102309668093,0.0,0.0,510,0.37601786556443867,230
ENSMUSG00000029581,Fscn1,Gene Expression,0.3167687545963665,0.0,0.0,4570,2.9758068519553595,913
ENSMUSG00000020458,Rtn4,Gene Expression,0.3164506020572222,0.0,0.0,11937,8.135974324173715,1083
ENSMUSG00000037217,Syn1,Gene Expression,0.31571398825806735,0.0,0.0,8297,5.578529636177308,1052
ENSMUSG00000086040,Wipf3,Gene Expression,0.3154134992898065,0.0,0.0,2390,1.474951077086482,720
ENSMUSG00000032735,Ablim3,Gene Expression,0.3136787028652335,0.0,0.0,2710,1.6894376337995907,748
ENSMUSG00000032966,Fkbp1a,Gene Expression,0.312523661315575,0.0,0.0,10519,7.002796899187096,1095
ENSMUSG00000072235,Tuba1a,Gene Expression,0.3123354304096741,0.0,0.0,28709,20.211000887365977,1163
ENSMUSG00000025170,Rab40b,Gene Expression,0.31135410533004004,0.0,0.0,1199,0.7214374260227683,520
ENSMUSG00000059970,Hspa2,Gene Expression,0.31093277979860184,0.0,0.0,1263,0.7909981893388284,522
ENSMUSG00000058672,Tubb2a,Gene Expression,0.3107320710868413,0.0,0.0,16172,11.187485253587546,1118
ENSMUSG00000026576,Atp1b1,Gene Expression,0.310653892336843,0.0,0.0,44892,30.55282569969765,1162
ENSMUSG00000006651,Aplp1,Gene Expression,0.31012086741605727,0.0,0.0,15983,11.228859084332612,1124
ENSMUSG00000040794,C1qtnf4,Gene Expression,0.3099010067531362,0.0,0.0,12819,8.966655189896796,1113
ENSMUSG00000030465,Psd3,Gene Expression,0.3093363970633171,0.0,0.0,3401,2.2091127737508445,848
ENSMUSG00000039323,Igfbp2,Gene Expression,0.30584122584494217,0.0,0.0,4162,3.9530640935421606,992
ENSMUSG00000003411,Rab3b,Gene Expression,0.3049408707994678,0.0,0.0,5532,4.1021312266151355,948
ENSMUSG00000073940,Hbb-bt,Gene Expression,0.30483761768999573,0.0,0.0,10645,11.833273788927631,1124
